url,warc_file,warc_record_offset,warc_record_length,warc_content_length,http_content_length,payload_length,http_orig_content_length,http_orig_content_encoding,http_orig_transfer_encoding,truncated_reason,http_content_type,identified_payload_type
http://filema.ir/tag/%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,134724475,144191,1048937,-1,1048576,-1,gzip,chunked,"",text/html; charset=utf-8,application/xhtml+xml
http://fn-ig.de/gaestebuch/index.php?offset=20071,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,138306116,99216,1048818,-1,1048576,-1,gzip,chunked,"",text/html,application/xhtml+xml
http://forestburgh.net/wp-content/uploads/2018/08/August-Newsletter.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,139285833,906054,1048863,1048576,1048576,1773691,"","",length,application/pdf,application/pdf
http://foxsheets.com/Portals/0/BowlGuide/2015-16_PlatinumSheet_15bvrf.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,146541799,803258,1048975,1048576,1048576,1742832,"","",length,application/pdf,application/pdf
http://fsc-jp.net/files/uploads/aXes_flyer.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,149472830,877943,1048874,1048576,1048576,2242101,"","",length,application/pdf,application/pdf
http://funepu.com.br/docs/contratos/contrato-n-33-2017.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,150943821,795004,1048864,1048576,1048576,2251937,"","",length,application/pdf,application/pdf
http://gossiponthis.com/2018/06/08/nancy-putkoski-wiki-bio-anthony-bourdain-1st-wife-photos-net-worth/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,161021083,139708,1048956,-1,1048576,-1,gzip,chunked,"",text/html; charset=UTF-8,text/html
http://gosurburo93.ru/category/news/28-iyunya-2018-goda-proveden-vyezdnoy-priem-v-upravlenii-semi-i-detstva-munitsipalnogo-obrazovaniya-/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,161161771,5723,17983,17254,17254,6540,gzip,"",disconnect,text/html; charset=UTF-8,text/html
http://ha-so.de/downloads/schraubzwingen.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,165306874,1049665,1048885,1048576,1048576,5700780,"","",length,application/pdf,application/pdf
http://hatoyamamachi.blog.fc2.com/blog-entry-505.html,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,168735815,70086,1049052,-1,1048576,-1,gzip,chunked,"",text/html;charset=utf-8,application/xhtml+xml
http://horizon.documentation.ird.fr/exl-doc/pleins_textes/pleins_textes_7/divers2/38575.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,174548427,1019489,1048924,1048576,1048576,1363836,"","",length,application/pdf,application/pdf
http://ina.gob.ar/legacy/pdf/Cra_6_Mirabile.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,183296407,837545,1048909,1048576,1048576,1163616,"","",length,application/pdf,application/pdf
http://indiside.com/index.php?mid=user_graphic&document_srl=1446485&sort_index=regdate&order_type=desc,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,187125317,14436,69851,-1,69197,-1,gzip,chunked,disconnect,text/html; charset=UTF-8,text/html
http://insp.gov.cv/index.php/observatorio-saude/condicoes-e-determinantes-da-saude/82-dados-sobre-o-municipio-de-r-brava-sn/file,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,189399647,1035953,1049351,1048576,1048576,1489389,"","",length,application/pdf; charset=utf-8,application/pdf
http://investorhouse.ru/projects-of-cottages/cottage-108/22.php,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191303019,8992,44540,-1,43752,-1,gzip,chunked,disconnect,text/html; charset=windows-1251,text/html
http://investorseurope.technology/?tag=Android+Marshmallow+devices&tag=1999&tag=%23human+civilization&tag=%23Exxon&tag=%23mining&tag=%23Consequences&tag=%23Flash&tag=%23protection,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191319443,42321,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=NAS&tag=%23Koncart&tag=%23Parabon+Snapshot&tag=%23Tez&tag=%23frictionless&tag=%23mobile+communications+market,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191362746,43145,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=NAS&tag=brands&tag=%23next+generation&tag=%23Google+Glass&tag=%23collapse&tag=%23SoftBank,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191406848,44688,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=blink&tag=%23record&tag=%23archaeology&tag=%23rogue&tag=%23speculation&tag=%23attacks,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191452472,44821,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=car+technology&tag=%23IT+Systems&tag=%23attract+customers&tag=%23politics&tag=%23Onfido,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191498220,44897,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=google+crome&tag=%23FAce+ID&tag=%23gold+rush,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191544033,49155,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=host&tag=%23cybersecurity&tag=%23technology+failure&tag=%23developers,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191594097,46320,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=jim+wicks&tag=%23expert+systems&tag=%23connect&tag=%23Maybank&tag=%23biologists&tag=%23genuine&tag=%23Lattice&tag=%23polymers,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191641359,43056,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=jim+wicks&tag=%23mobile+communications+market&tag=%23disruptive+banking+solution&tag=%23animals&tag=%23machine&tag=%23Israel&tag=%23accesssible&tag=%23automaker,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191685408,40992,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=maintool&tag=authenticator&tag=%23techpreneurs&tag=%23Diversity&tag=%23Camden&tag=%23Night+Vision&tag=%23Nefrids+Africa,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191727395,42798,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=new+look&tag=500+px&tag=%23buying&tag=%23Switzerland,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191771137,48014,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorseurope.technology/?tag=octoputin&tag=%23battery&tag=%23sense&tag=%23prediction,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191820057,47467,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://investorsstocks.com/?&tag=DoJ&tag=Employees+International+Union&tag=Atlantic+Ocean,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,191868464,61060,1049166,-1,1048576,-1,gzip,chunked,"",text/html;charset=UTF-8,application/xhtml+xml
http://inzect-sajjt-porno-vidmmw-y817.adyghe-language.info/sitemap/sitemap.xml?t=22,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,192015343,31033,1048889,-1,1048576,-1,gzip,chunked,"",text/xml,application/xml
http://irc3.aist.go.jp/news/page/6/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,192557150,5255,16841,16427,16427,4638,gzip,"",disconnect,text/html; charset=UTF-8,application/xhtml+xml
http://irc3.aist.go.jp/organization/%E7%A0%94%E7%A9%B6%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC%E9%95%B7/%E9%98%AA%E5%A4%A7%E3%82%AF%E3%83%AD%E3%82%B9%E3%82%A2%E3%83%9D%E3%82%A4%E3%83%B3%E3%83%88-%E7%9C%9F%E5%B3%B6%E3%80%80%E5%92%8C%E5%BF%97/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,192563400,4340,13066,12596,12596,3597,gzip,"",disconnect,text/html; charset=UTF-8,application/xhtml+xml
http://jusd.k12.ca.us/our-district/edserv/accountability/LCFFandLCAP/Documents/LCAP%20Template%202018%2007.02.18%20Final.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,202886099,1013407,1049380,1048576,1048576,1508126,"","",length,application/pdf,application/pdf
http://kanegen.net/style_coat/001.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,205803985,1049311,1048894,1048576,1048576,1666231,"","",length,application/pdf,application/pdf
http://kidanlog.com/archives/8874,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,211296328,156410,1048927,-1,1048576,-1,gzip,chunked,"",text/html; charset=UTF-8,application/xhtml+xml
http://kishi-hiroyasu.com/column/2015%E5%B9%B412%E6%9C%88-%E6%94%BB%E6%92%83%E5%86%8D%E9%96%8B%E3%81%AE%E3%82%A8%E3%83%B3%E3%82%B8%E3%83%B3/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,212433162,131853,1048972,-1,1048576,-1,gzip,chunked,"",text/html; charset=UTF-8,text/html
http://krasnokamsk.ru/upload/pages/20675/dat_1529580496334.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,215544687,971765,1048917,1048576,1048576,2737980,"","",length,application/pdf,application/pdf
http://kspto.ru/documents/2016-12-27_Sbornik.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,217308366,1000753,1048920,1048576,1048576,1145844,"","","",application/pdf,application/pdf
http://kswedm.com/ks/ks2disk.rar,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,218340465,1043171,1048878,1048576,1048576,10447568,"","",length,application/octet-stream,application/x-rar-compressed
http://latunera.es/wp-content/uploads/2018/08/Programa-Fiestas-Lodero-2018.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,223947848,977824,1048957,1048576,1048576,1210915,"","",length,application/pdf,application/pdf
http://lc.273.cn/tt/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,225251905,22289,164607,-1,164416,-1,gzip,chunked,disconnect,text/html,application/xhtml+xml
http://lecentredelapresse.com/site/sousmenus/REPORTAIR2012-3.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,225610293,1014699,1048923,1048576,1048576,1074312,"","",length,application/pdf,application/pdf
http://lexicometrica.univ-paris3.fr/livre/st94/STU8DISCRIM.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,228662547,1019544,1048900,1048576,1048576,2311927,"","",length,application/pdf,application/pdf
http://lhbconline.com/wp-content/Ronnie-&-Diane-Bijeaux/10LCCD2-4.mp3,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,230004401,1025159,1048858,1048576,1048576,7210112,"","",length,audio/mpeg,audio/mpeg
http://maddog10k.co.uk/index_htm_files/Mad%20Dog%2010k%202015%20Results%20Updated%2010-02-15.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,242313849,966870,1048899,1048576,1048576,2124901,"","",length,application/pdf,application/pdf
http://mall.jd.com/view_search-410871-5097845-99-1-24-1.html,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,245048408,15751,57198,56799,56799,15105,gzip,"",disconnect,text/html; charset=utf-8,text/html
http://mbs02.ru/shop/zapchasti-dlya-stiralnykh-mashin/ruchki-lyuka-petli-kryuchki-stekla-lyuka/ruchka-lyuka-na-sma-vestel,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,249109353,44819,322506,-1,322157,-1,gzip,chunked,disconnect,text/html; charset=utf-8,text/html
http://mcclainsfoodmarket.com/assets/9-21-16-pdf.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,249248036,1014807,1048943,-1,1048576,-1,gzip,chunked,"",application/pdf,application/pdf
http://med-ina.org/Portals/0/Uploads/Tunis%20workshop%20presentations/12%20Cultural%20conservation%20Practices%20in%20North%20Africa_Mzoughi.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,252349420,1022528,1048868,1048576,1048576,2606254,"","","",application/pdf,application/pdf
http://melitensiawth.nl/index/Malta%20Letteraria/ML.n.s.%2C%2009%281934%29/15s.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,254572514,1046499,1048934,1048576,1048576,1903811,"","",length,application/pdf,application/pdf
http://mikehammer.com/wordpress/2013/07/treatment-schedule-final-week/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,257983156,172430,1048912,-1,1048576,-1,"",chunked,length,text/html; charset=UTF-8,text/html
http://modelhealthkitchen.com/wp-content/uploads/2018/07/bacon-sarnie-2.jpg,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,262844730,1048078,1048952,1048576,1048576,1966374,"","",length,image/jpeg,image/jpeg
http://mqi3ew.highxlow.com/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,267865772,130690,1048818,1048576,1048576,263028,gzip,"","",text/html; charset=GB2312,application/xhtml+xml
http://mrplastic.com/pdf/trophies.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,268145325,1000497,1048863,1048576,1048576,5525121,"","",length,application/pdf,application/pdf
http://mtda.hu/books/gyarfas_elemer_erdelyi_problemak.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,269623293,962954,1048963,-1,1048576,-1,gzip,chunked,"",application/pdf,application/pdf
http://nagasaki-chosashi.net/kaihou/grp/66.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,276184613,899551,1048866,-1,1048576,-1,gzip,chunked,"",application/pdf,application/pdf
http://newnews.in.ua/v-rossii-zagovorili-o-bolshoj-vojne/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,280268536,16113,62712,-1,62375,-1,gzip,chunked,disconnect,text/html; charset=UTF-8,text/html
http://nongthonmoi.bentre.gov.vn/documents/10180/12347/Q%C4%90+Ki%E1%BB%87n+to%C3%A0n+BBT+C%E1%BB%95ng+Th%C3%B4ng+tin+%C4%91i%E1%BB%87n+t%E1%BB%AD+N%C3%B4ng+th%C3%B4n+m%E1%BB%9Bi.pdf/89026928-177d-4a70-97e1-b21478eb4d18?version=1.0,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,284805506,1048988,1049153,-1,1048576,-1,"",chunked,"",application/pdf,application/pdf
http://nostalgicclub.se/images/Norberg/Olle.avi,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,286606382,1010593,1048923,1048576,1048576,5868692,"","",length,video/x-msvideo,video/x-msvideo
"http://nowy.esbank.pl/uploads/attachments/_ESBANK%20z%20bliska,%20nr%2023%20(2014)%20%5BPDF,%209,44%20MB%5D.pdf",CC-MAIN-20181015080248-20181015101748-00033.warc.gz,288408036,986629,1048825,1048576,1048576,9904834,"","",length,application/pdf,application/pdf
http://nymag.com/intelligencer/2015/10/massive-fire-swallows-empty-building-in-chelsea.html?gtm=bottom&gtm=bottom,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,291661206,484924,1049523,1048576,1048576,546755,gzip,"","",text/html; charset=utf-8,text/html
http://oikawahp.net/news/pdf/pdf00000029.pdf,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,293995845,1006916,1049025,1048576,1048576,2022254,"","",length,application/pdf,application/pdf
http://ostffyasszonyfa.hu/.viwo/users/content/2016/01/ostffyasszonyfatelepulestortenetioklevelei_ti.pdf?dl=true,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,298772886,1046321,1048879,1048576,1048576,2173997,"","",length,application/pdf,application/pdf
http://ozsoypres.com/img/509.03.bmp,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,300896052,7982,1048862,1048576,1048576,1831286,"","",length,image/bmp,image/bmp
http://persiangrand.com/tag/%D8%A2%D9%87%D9%86%DA%AF-%D8%AC%D8%AF%DB%8C%D8%AF-%D8%B0%D8%BA%D8%A7%D9%84-%DA%86%DB%8C/,CC-MAIN-20181015080248-20181015101748-00033.warc.gz,306987903,110308,1049553,-1,1048576,-1,gzip,chunked,"",text/html; charset=UTF-8,text/html
